receive 27 signal | time now: 31.35392427444458 | total fee now: 43
receive 28 signal | time now: 31.571979761123657 | total fee now: 43
receive 29 signal | time now: 31.789973497390747 | total fee now: 43
receive 29 signal | time now: 32.118916749954224 | total fee now: 43
receive 30 signal | time now: 32.33817148208618 | total fee now: 43
receive 30 signal | time now: 32.555652379989624 | total fee now: 43
receive 30 signal | time now: 32.883243560791016 | total fee now: 43
receive 30 signal | time now: 33.10176467895508 | total fee now: 43
receive 30 signal | time now: 33.31630301475525 | total fee now: 43
receive 30 signal | time now: 33.53521180152893 | total fee now: 43
receive 30 signal | time now: 33.86070466041565 | total fee now: 54
receive 30 signal | time now: 34.07977771759033 | total fee now: 54
receive 30 signal | time now: 34.29468584060669 | total fee now: 54
receive 30 signal | time now: 34.62216544151306 | total fee now: 54
receive 30 signal | time now: 34.8408727645874 | total fee now: 54
receive 30 signal | time now: 35.05870175361633 | total fee now: 54
receive 30 signal | time now: 35.38405680656433 | total fee now: 54
receive 30 signal | time now: 35.601569175720215 | total fee now: 54
receive 30 signal | time now: 35.82166051864624 | total fee now: 54
receive 30 signal | time now: 36.14512324333191 | total fee now: 54
receive 30 signal | time now: 36.363505363464355 | total fee now: 54
receive 30 signal | time now: 36.580382347106934 | total fee now: 54
receive 30 signal | time now: 36.81697726249695 | total fee now: 54
receive 30 signal | time now: 37.1396758556366 | total fee now: 54
receive 30 signal | time now: 37.35652947425842 | total fee now: 54
receive 30 signal | time now: 37.57684016227722 | total fee now: 54
receive 30 signal | time now: 37.90457344055176 | total fee now: 54
receive 30 signal | time now: 38.123899698257446 | total fee now: 54
receive 30 signal | time now: 38.34049129486084 | total fee now: 54
receive 30 signal | time now: 38.66553831100464 | total fee now: 54
receive 30 signal | time now: 38.883880376815796 | total fee now: 54
receive 30 signal | time now: 39.099689245224 | total fee now: 54
1657177124.2681198-----1657177163.6983497------39.430229902267456
